,fee,last_month,estimate_value,admin,name,trade_first_status,set_up,cumulative_value,grade,manager,scale,last_3_month,last_half_year,type,fund_id,trade_sencond_status,last_3_yesr,setup_date,unit_value,last_year
4105,0.08%,-0.82%,1.0207,兴银基金,兴银收益增强债券,开放申购  ,2.03%,1.0204,jjpj,陈博亮,0.53,0.55%,0.02%,债券型,3628,开放赎回,--,2016-11-28,1.0204,1.49%
4106,,0.07%,1.0368,平安大华基金,平安大华鑫利灵活配置混合,开放申购  ,6.63%,1.0653,jjpj,WANG AO(汪澳),0.00,-2.08%,3.92%,混合型,3626,开放赎回,--,2016-12-07,1.0357,5.90%
4107,0.00%,-13.12%,1.1040,创金合信基金,创金合信资源股票发起式C,开放申购  ,8.90%,1.0890,jjpj,李游,2.88,-6.78%,-16.78%,股票型,3625,开放赎回,--,2016-11-02,1.0890,7.50%
4108,,-1.72%,--,上投摩根基金,上投摩根全球多元配置美元现钞,开放申购  ,17.93%,0.1710,jjpj,张军,11.22,0.00%,5.56%,QDII,3630,开放赎回,--,2016-12-19,0.1710,14.00%
4109,0.15%,-2.35%,--,上投摩根基金,上投摩根全球多元配置人民币,开放申购  ,7.90%,1.0790,jjpj,张军,11.22,-4.34%,0.94%,QDII,3629,开放赎回,--,2016-12-19,1.0790,4.25%
4110,0.15%,-13.04%,1.1217,创金合信基金,创金合信资源股票发起式A,开放申购  ,10.64%,1.1064,jjpj,李游,2.09,-6.48%,-16.09%,股票型,3624,开放赎回,--,2016-11-02,1.1064,9.06%
4111,,-1.72%,--,上投摩根基金,上投摩根全球多元配置美元现汇,开放申购  ,17.93%,0.1710,jjpj,张军,11.22,0.00%,5.56%,QDII,3631,开放赎回,--,2016-12-19,0.1710,14.00%
4112,0.00%,-6.44%,1.0762,创金合信基金,创金合信优价成长股票C,限大额  (,6.27%,1.0627,jjpj,李晗,0.05,-6.13%,-3.15%,股票型,3623,),--,2016-11-02,1.0627,-0.05%
4113,,0.77%,1.0334,招商基金,招商招旺纯债A,开放申购  ,3.35%,1.0335,jjpj,周欣宇,5.08,1.85%,1.43%,债券型,3618,开放赎回,--,2016-11-02,1.0335,3.36%
4114,0.00%,0.43%,1.0362,中信保诚基金,信诚景瑞债券C,限大额  (,5.46%,1.0543,jjpj,宋海娟,0.00,1.39%,2.24%,债券型,3615,),--,2016-12-07,1.0363,4.35%
4115,,0.40%,1.0559,南方基金,南方卓元债券A,开放申购  ,5.45%,1.0545,jjpj,郑迎迎,2.11,1.49%,2.37%,债券型,3612,开放赎回,--,2016-11-11,1.0545,5.23%
4116,0.00%,-0.59%,1.0572,南方基金,南方荣安C,暂停申购  ,5.66%,1.0566,jjpj,王啸,0.06,-0.24%,0.74%,混合型,3611,暂停赎回,--,2016-11-23,1.0566,3.81%
4117,0.06%,-0.56%,1.0629,南方基金,南方荣安A,暂停申购  ,6.23%,1.0623,jjpj,王啸,1.55,-0.14%,0.95%,混合型,3610,暂停赎回,--,2016-11-23,1.0623,4.23%
4118,0.08%,0.89%,1.0209,博时基金,博时富益纯债债券,限大额  (,2.86%,1.0285,jjpj,杨永光,20.11,1.84%,0.97%,债券型,3607,),--,2016-11-04,1.0210,2.15%
4119,,0.37%,1.0504,南方基金,南方卓元债券C,开放申购  ,4.90%,1.0490,jjpj,郑迎迎,0.00,1.39%,2.18%,债券型,3613,开放赎回,--,2016-11-11,1.0490,4.82%
4120,,0.75%,1.0307,招商基金,招商招旺纯债C,开放申购  ,3.08%,1.0308,jjpj,周欣宇,0.00,1.79%,1.34%,债券型,3619,开放赎回,--,2016-11-02,1.0308,3.16%
4121,0.15%,-6.42%,1.0787,创金合信基金,创金合信优价成长股票A,限大额  (,6.52%,1.0652,jjpj,李晗,1.79,-6.08%,-3.15%,股票型,3622,),--,2016-11-02,1.0652,0.05%
4122,,-0.27%,--,海富通基金,海富通全球收益债券美元,封闭期  ,1.17%,0.1468,jjpj,陈轶平,1.78,-0.74%,-1.01%,QDII,3606,封闭期  ,--,2016-11-28,0.1468,0.34%
4123,0.08%,0.44%,1.0375,中信保诚基金,信诚景瑞债券A,限大额  (,5.59%,1.0556,jjpj,宋海娟,3.58,1.41%,2.28%,债券型,3614,),--,2016-12-07,1.0376,4.45%
4124,0.08%,0.51%,1.0521,景顺长城基金,景顺长城景泰汇利定开债,暂停申购  ,5.22%,1.0522,jjpj,陈文鹏,20.22,1.50%,1.83%,定开债券,3605,暂停赎回,--,2016-11-11,1.0522,4.06%
4125,0.00%,-0.29%,1.0493,景顺长城基金,景顺长城泰安回报混合C,限大额  (,8.55%,1.0842,jjpj,万梦,0.00,1.21%,2.37%,混合型,3604,),--,2016-12-09,1.0482,6.68%
4126,0.10%,-0.28%,1.0510,景顺长城基金,景顺长城泰安回报混合A,限大额  (,8.83%,1.0869,jjpj,万梦,5.18,1.27%,2.49%,混合型,3603,),--,2016-12-09,1.0499,6.89%
4127,0.00%,-0.88%,1.0141,申万菱信基金,申万菱信安鑫精选混合C,开放申购  ,7.32%,1.0730,jjpj,叶瑜珍,0.00,0.20%,2.01%,混合型,3602,开放赎回,--,2016-11-18,1.0130,6.57%
4128,0.15%,-5.16%,1.1266,国泰基金,国泰景气行业灵活配置混合,开放申购  ,16.18%,1.1670,jjpj,杨飞,13.40,-5.43%,5.84%,混合型,3593,开放赎回,--,2017-03-20,1.1217,15.47%
4129,,0.57%,1.0199,建信基金,建信睿富纯债债券,限大额  ,4.12%,1.0410,jjpj,刘思,70.53,1.50%,1.79%,债券型,3590,开放赎回,--,2016-11-25,1.0200,3.59%
4130,,0.61%,1.0423,建信基金,建信稳定鑫利债券C,限大额  ,4.24%,1.0424,jjpj,黎颖芳,0.00,1.56%,1.92%,债券型,3584,开放赎回,--,2017-01-06,1.0424,3.87%
4131,0.15%,-6.56%,0.9457,先锋基金,先锋精一混合A,限大额  (,-5.44%,0.9456,jjpj,王颢,0.00,-10.35%,-11.54%,混合型,3586,),--,2016-11-18,0.9456,-5.70%
4132,,0.63%,1.0466,建信基金,建信稳定鑫利债券A,限大额  ,4.67%,1.0467,jjpj,黎颖芳,3.09,1.63%,2.08%,债券型,3583,开放赎回,--,2017-01-06,1.0467,4.22%
4133,0.00%,0.30%,0.9831,先锋基金,先锋现金宝货币,开放申购  ,5.34%,3.87%,jjpj,王颢,26.36,0.98%,2.02%,货币型,3585,开放赎回,--,2016-11-22,3.8200%,4.01%
4134,0.00%,-6.60%,0.9349,先锋基金,先锋精一混合C,限大额  (,-6.53%,0.9347,jjpj,王颢,1.69,-10.61%,-11.95%,混合型,3587,),--,2016-11-18,0.9347,-6.53%
4135,0.00%,0.32%,1.1922,东吴基金,东吴增鑫宝货币B,开放申购  ,5.63%,4.32%,jjpj,王文华,110.10,1.06%,2.10%,货币型,3589,开放赎回,--,2016-11-07,4.4170%,4.29%
4136,0.15%,-2.92%,1.1072,华泰柏瑞基金,华泰柏瑞享利混合A,限大额  (,9.68%,1.0968,jjpj,杨景涵,2.20,-0.19%,-0.41%,混合型,3591,),--,2016-12-29,1.0968,8.17%
4137,0.00%,-2.86%,1.1022,华泰柏瑞基金,华泰柏瑞享利混合C,限大额  (,9.22%,1.0922,jjpj,杨景涵,0.00,-0.16%,-0.61%,混合型,3592,),--,2016-12-29,1.0922,7.82%
4138,0.00%,0.30%,1.1264,东吴基金,东吴增鑫宝货币A,开放申购  ,5.29%,4.08%,jjpj,陈晨,0.13,1.00%,1.98%,货币型,3588,开放赎回,--,2016-11-07,4.1730%,4.04%
4139,0.15%,7.66%,1.1216,前海联合,前海联合国民健康混合,开放申购  ,11.10%,1.1110,jjpj,林材,0.56,7.34%,10.22%,混合型,3581,开放赎回,--,2016-12-29,1.1110,6.42%
4140,0.15%,-2.97%,1.0151,中金基金,中金量化多策略混合,开放申购  ,1.20%,1.0120,jjpj,魏孛,1.35,-1.36%,-0.88%,混合型,3582,开放赎回,--,2016-11-10,1.0120,-1.65%
4141,0.00%,-3.91%,1.1928,中金基金,中金沪深300C,开放申购  ,12.03%,1.1922,jjpj,魏孛,0.00,-1.06%,2.77%,股票指数,3579,开放赎回,--,2016-11-28,1.1922,11.42%
4142,,0.57%,1.0048,招商基金,招商招弘纯债A,限大额  ,2.97%,1.0295,jjpj,许强,2.01,1.57%,1.46%,债券型,3576,开放赎回,--,2017-02-23,1.0049,2.91%
4143,0.15%,-4.81%,1.2149,泰康资产,泰康沪港深价值优选混合,开放申购  ,19.43%,1.1943,jjpj,刘伟,1.26,-0.38%,3.78%,混合型,3580,开放赎回,--,2016-12-28,1.1943,15.49%
4144,,0.36%,1.0137,大成基金,大成惠益纯债,限大额  ,4.46%,1.0439,jjpj,陈会荣,60.05,1.26%,2.00%,债券型,3575,开放赎回,--,2016-11-02,1.0137,4.04%
4145,0.00%,-0.87%,1.0950,中金基金,中金中证500C,开放申购  ,1.18%,1.0924,jjpj,魏孛,0.01,0.53%,-1.59%,股票指数,3578,开放赎回,--,2016-11-28,1.0924,2.28%
4146,0.06%,0.38%,1.0200,中信建投基金,中信建投稳裕定开债,封闭期  ,2.00%,1.0200,jjpj,黄海浩,1.01,1.08%,1.35%,定开债券,3573,封闭期  ,--,2016-11-07,1.0200,2.98%
4147,,0.51%,1.0156,大成基金,大成惠利纯债,限大额  ,4.28%,1.0422,jjpj,陈会荣,14.99,1.51%,1.99%,债券型,3574,开放赎回,--,2016-11-02,1.0157,3.71%
4148,,0.55%,1.0315,招商基金,招商招琪纯债A,暂停申购  ,4.01%,1.0399,jjpj,周欣宇,76.76,1.52%,1.80%,债券型,3571,开放赎回,--,2016-12-07,1.0316,3.70%
4149,0.15%,-4.25%,1.0917,华夏基金,华夏行业景气混合,开放申购  ,8.03%,1.0803,jjpj,陈虎,1.06,-3.21%,3.87%,混合型,3567,开放赎回,--,2017-02-04,1.0803,6.83%
4150,,0.66%,1.0180,招商基金,招商招丰纯债A,开放申购  ,5.04%,1.0496,jjpj,马龙,14.99,1.64%,2.29%,债券型,3569,开放赎回,--,2016-12-07,1.0181,4.33%
4151,,0.88%,1.0307,平安大华基金,平安大华惠利纯债,开放申购  ,3.08%,1.0308,jjpj,余斌,5.05,1.74%,0.84%,债券型,3568,开放赎回,--,2016-11-18,1.0308,2.15%
4152,0.08%,0.47%,1.0300,博时基金,博时臻选纯债债券,限大额  (,3.01%,1.0301,jjpj,程卓,5.03,1.46%,1.95%,债券型,3566,),--,2016-11-07,1.0301,3.10%
4153,0.12%,0.48%,1.1183,诺德基金,诺德成长精选A,开放申购  ,11.85%,1.1186,jjpj,郝旭东,0.78,5.62%,6.78%,混合型,3561,开放赎回,--,2017-02-24,1.1186,11.85%
4154,,-5.04%,1.0431,平安大华基金,平安大华量化成长混合A,限大额  ,3.70%,1.0370,jjpj,施旭,0.07,-6.32%,1.97%,混合型,3559,开放赎回,--,2016-11-02,1.0370,3.70%
4155,,-3.25%,1.0603,平安大华基金,平安大华量化成长混合C,限大额  ,4.20%,1.0420,jjpj,施旭,0.00,-4.32%,3.17%,混合型,3560,开放赎回,--,2016-11-02,1.0420,4.41%
4156,0.00%,-4.66%,1.1593,泰达宏利基金,泰达宏利大数据混合C,开放申购  ,-2.74%,1.1407,jjpj,刘欣,0.03,-8.56%,-9.36%,混合型,3554,开放赎回,--,2017-02-09,1.1407,-7.03%
4157,0.00%,-3.38%,1.0307,华泰柏瑞基金,华泰柏瑞睿利混合C,限大额  (,2.79%,1.0279,jjpj,盛豪,0.00,-2.44%,-1.58%,混合型,3556,),--,2016-11-23,1.0279,2.12%
4158,0.00%,-6.11%,1.2599,泰达宏利基金,泰达改革动力混合C,开放申购  ,4.40%,1.2394,jjpj,刘欣,0.00,-2.12%,-2.98%,混合型,3550,开放赎回,--,2017-02-09,1.2394,1.37%
4159,0.08%,0.71%,1.0003,浙商基金,浙商惠裕纯债,限大额  (,0.04%,1.0004,jjpj,周锦程,15.02,1.82%,2.11%,债券型,3549,),--,2016-11-07,1.0004,2.70%
4160,0.15%,-3.36%,1.0346,华泰柏瑞基金,华泰柏瑞睿利混合A,限大额  (,3.18%,1.0318,jjpj,盛豪,2.10,-2.40%,-1.49%,混合型,3555,),--,2016-11-23,1.0318,2.55%
4161,,0.68%,1.0197,鹏华基金,鹏华丰禄债券,限大额  ,5.31%,1.0528,jjpj,刘太阳,5.18,1.70%,2.42%,债券型,3547,开放赎回,--,2016-10-27,1.0198,4.66%
4162,0.00%,-7.28%,1.4433,泰达宏利基金,泰达宏利沪深300指数增强C,开放申购  ,18.62%,1.4316,jjpj,杨超,0.01,-4.55%,0.96%,股票指数,3548,开放赎回,--,2017-02-09,1.4316,14.11%
4163,0.10%,0.34%,--,国联安基金,国联安睿智定开混合,暂停申购  ,3.89%,1.0389,jjpj,薛琳,2.10,1.11%,1.47%,混合型,3541,暂停赎回,--,2016-12-29,1.0389,3.24%
4164,0.08%,0.13%,1.0304,东兴证券,东兴兴利债券,开放申购  ,3.44%,1.0345,jjpj,程远,0.53,0.96%,0.89%,债券型,3545,开放赎回,--,2017-04-14,1.0345,--
4165,,0.63%,1.0176,财通基金,财通纯债债券C,开放申购  ,1.77%,1.0177,jjpj,张亦博,0.00,1.71%,1.77%,债券型,3542,开放赎回,--,2017-04-14,1.0177,--
4166,0.08%,0.42%,1.0357,长城基金,长城久信债券,开放申购  ,3.57%,1.0357,jjpj,蔡旻,2.10,1.41%,1.19%,债券型,3546,开放赎回,--,2016-11-30,1.0357,2.43%
4167,0.00%,0.36%,1.3293,招商基金,招商招利宝货币B,暂停申购  (,4.23%,4.88%,jjpj,许强,55.30,1.17%,2.33%,货币型,3538,),--,2017-04-17,4.8940%,--
4168,0.00%,0.34%,1.2636,招商基金,招商招利宝货币A,暂停申购  (,4.04%,4.62%,jjpj,许强,145.26,1.11%,2.22%,货币型,3537,),--,2017-04-17,4.6430%,--
4169,,0.26%,0.9575,安信基金,安信现金增利货币B,开放申购  ,5.42%,3.55%,jjpj,杨凯玮,1.01,0.89%,1.92%,货币型,3539,开放赎回,--,2016-10-17,3.6010%,3.99%
4170,,0.29%,1.0723,浦银安盛基金,浦银安盛日日丰货币D,开放申购  ,4.78%,3.93%,jjpj,刘大巍,0.24,0.97%,1.91%,货币型,3536,开放赎回,--,2016-11-07,3.9870%,3.76%
4171,0.00%,0.31%,1.1372,浦银安盛基金,浦银安盛日日丰货币B,开放申购  ,5.12%,4.18%,jjpj,刘大巍,2.89,1.03%,2.03%,货币型,3535,开放赎回,--,2016-11-07,4.2380%,4.00%
4172,,0.67%,1.0344,汇添富基金,汇添富鑫利债券A,开放申购  ,3.45%,1.0345,jjpj,吴江宏,2.04,1.71%,1.90%,债券型,3532,开放赎回,--,2017-03-13,1.0345,3.37%
4173,0.00%,0.29%,1.0714,浦银安盛基金,浦银安盛日日丰货币A,开放申购  ,4.77%,3.93%,jjpj,刘大巍,0.04,0.97%,1.91%,货币型,3534,开放赎回,--,2016-11-07,3.9880%,3.75%
4174,,0.64%,1.0302,汇添富基金,汇添富鑫利债券C,开放申购  ,3.03%,1.0303,jjpj,吴江宏,0.00,1.62%,1.71%,债券型,3533,开放赎回,--,2017-03-13,1.0303,2.96%
4175,,0.40%,1.0079,汇添富基金,汇添富长添利定开债A,暂停申购  ,4.43%,1.0440,jjpj,李怀定,151.08,0.90%,1.78%,定开债券,3528,暂停赎回,--,2016-12-06,1.0080,3.60%
4176,,0.20%,1.0059,汇添富基金,汇添富长添利定开债C,暂停申购  ,3.82%,1.0380,jjpj,曾刚,0.00,0.70%,1.48%,定开债券,3529,暂停赎回,--,2016-12-06,1.0060,3.10%
4177,0.00%,0.06%,1.0097,东方基金,东方永熙18个月定开债C,暂停申购  ,0.98%,1.0098,jjpj,周薇,0.03,-0.38%,-0.84%,定开债券,3531,暂停赎回,--,2016-12-27,1.0098,0.44%
4178,0.06%,0.08%,1.0147,东方基金,东方永熙18个月定开债A,暂停申购  ,1.48%,1.0148,jjpj,周薇,2.03,-0.29%,-0.66%,定开债券,3530,暂停赎回,--,2016-12-27,1.0148,0.83%
4179,,0.15%,1.0188,万家基金,万家鑫通纯债C,开放申购  ,1.89%,1.0189,jjpj,柳发超,0.00,0.02%,-0.52%,债券型,3523,开放赎回,--,2016-11-18,1.0189,1.16%
4180,,-3.08%,1.0739,易方达基金,易方达深证成指ETF联接,开放申购  ,5.39%,1.0539,jjpj,成曦,0.17,-3.39%,-4.03%,联接基金,3524,开放赎回,--,2017-05-04,1.0539,--
4181,,0.37%,2.8392,兴银基金,兴银现金收益货币,限大额  ,5.76%,4.82%,jjpj,范泰奇,69.49,1.12%,2.18%,货币型,3525,开放赎回,--,2016-10-25,5.5710%,4.27%
4182,,0.38%,1.0134,鹏华基金,鹏华丰腾债券,限大额  ,4.26%,1.0420,jjpj,刘太阳,20.03,1.22%,2.02%,债券型,3527,开放赎回,--,2016-10-27,1.0135,4.05%
4183,,0.16%,1.0221,万家基金,万家鑫通纯债A,开放申购  ,2.22%,1.0222,jjpj,柳发超,0.01,0.07%,-0.36%,债券型,3522,开放赎回,--,2016-11-18,1.0222,1.42%
4184,0.08%,0.53%,1.0378,农银汇理基金,农银汇理金穗纯债3个月定开债,暂停申购  ,3.79%,1.0379,jjpj,姚臻,817.31,1.43%,1.68%,定开债券,3526,暂停赎回,--,2016-11-07,1.0379,3.35%
4185,,0.77%,1.0301,万家基金,万家鑫瑞纯债E,开放申购  ,3.32%,1.0331,jjpj,高翰昆,20.06,1.87%,2.08%,债券型,3519,开放赎回,--,2017-06-07,1.0302,--
4186,,0.74%,1.0265,万家基金,万家鑫瑞纯债A,开放申购  ,2.96%,1.0296,jjpj,高翰昆,0.00,1.76%,1.87%,债券型,3518,开放赎回,--,2017-06-07,1.0266,--
4187,0.00%,-1.15%,1.0321,长盛基金,长盛可转债债券C,开放申购  ,4.19%,1.0419,jjpj,马文祥,0.32,2.59%,-1.81%,债券型,3511,开放赎回,--,2016-12-07,1.0319,3.63%
4188,0.00%,-1.52%,1.0381,申万菱信基金,申万菱信安鑫优选混合C,开放申购  ,3.70%,1.0370,jjpj,叶瑜珍,0.00,-1.80%,-0.10%,混合型,3512,开放赎回,--,2016-11-07,1.0370,2.07%
4189,,0.63%,1.0231,万家基金,万家鑫稳纯债C,开放申购  ,2.32%,1.0232,jjpj,柳发超,0.00,1.44%,1.11%,债券型,3521,开放赎回,--,2016-11-25,1.0232,2.40%
4190,,0.65%,1.0256,万家基金,万家鑫稳纯债A,开放申购  ,2.57%,1.0257,jjpj,柳发超,2.02,1.49%,1.21%,债券型,3520,开放赎回,--,2016-11-25,1.0257,2.61%
4191,0.08%,-1.58%,1.0263,长盛基金,长盛可转债债券A,开放申购  ,3.62%,1.0362,jjpj,马文祥,0.18,2.19%,-2.12%,债券型,3510,开放赎回,--,2016-12-07,1.0262,2.92%
4192,,0.22%,1.0623,景顺长城基金,景顺长城景颐丰利债券C,开放申购  ,6.00%,1.0600,jjpj,毛从容,0.00,0.55%,1.64%,债券型,3505,开放赎回,--,2017-01-18,1.0600,5.39%
4193,,0.25%,1.0596,景顺长城基金,景顺长城景颐丰利债券A,开放申购  ,5.73%,1.0573,jjpj,毛从容,1.79,0.65%,1.83%,债券型,3504,开放赎回,--,2017-01-18,1.0573,5.04%
4194,0.15%,-0.68%,1.0316,中邮基金,中邮消费升级,开放申购  ,1.60%,1.0160,jjpj,周楠,0.52,2.42%,1.60%,混合型,3513,开放赎回,--,2016-12-15,1.0160,-0.88%
4195,0.60%,-0.10%,--,华安基金,华安睿安定开混合C,暂停申购  ,4.95%,1.0495,jjpj,朱才敏,0.35,1.09%,2.26%,混合型,3509,暂停赎回,--,2017-03-15,1.0495,4.96%
4196,0.15%,0.40%,--,华安基金,华安睿安定开混合A,暂停申购  ,5.39%,1.0539,jjpj,朱才敏,1.13,1.70%,3.03%,混合型,3508,暂停赎回,--,2017-03-15,1.0539,5.40%
4197,0.00%,13.76%,1.2004,金鹰基金,金鹰鑫瑞混合C,限大额  (,19.91%,1.1991,jjpj,黄艳芳,0.03,16.11%,16.07%,混合型,3503,),--,2016-12-06,1.1991,18.62%
4198,0.10%,-0.06%,1.0631,金鹰基金,金鹰鑫瑞混合A,限大额  (,6.20%,1.0620,jjpj,黄艳芳,0.43,2.04%,2.03%,混合型,3502,),--,2016-12-06,1.0620,4.83%
4199,0.08%,0.41%,1.0322,前海联合,前海联合添和纯债A,开放申购  ,3.17%,1.0317,jjpj,张雅洁,0.00,1.22%,1.68%,债券型,3498,开放赎回,--,2016-12-07,1.0317,2.09%
4200,0.15%,-5.91%,0.9157,泰达宏利基金,泰达睿智稳健灵活配置混合,开放申购  ,-9.54%,0.9046,jjpj,刘欣,4.27,-8.31%,-9.48%,混合型,3501,开放赎回,--,2016-11-23,0.9046,-8.63%
4201,,1.01%,1.0258,银华基金,银华添泽定开债,暂停申购  ,2.59%,1.0259,jjpj,邹维娜,3.36,1.86%,2.02%,定开债券,3497,暂停赎回,--,2016-11-11,1.0259,3.62%
4202,,-1.72%,2.1415,富国基金,富国天惠成长混合C,开放申购  ,16.84%,2.0930,jjpj,朱少醒,1.14,-1.25%,6.14%,混合型,3494,开放赎回,--,2017-03-23,2.0930,16.86%
4203,0.00%,0.38%,1.0314,前海联合,前海联合添和纯债C,开放申购  ,3.09%,1.0309,jjpj,张雅洁,0.58,1.11%,1.42%,债券型,3499,开放赎回,--,2016-12-07,1.0309,1.76%
4204,,0.55%,1.0376,鑫元基金,鑫元聚利债券,限大额  ,4.59%,1.0457,jjpj,颜昕,20.43,1.57%,1.94%,债券型,3500,开放赎回,--,2016-10-27,1.0377,3.83%
4205,,-0.89%,1.0259,鹏华基金,鹏华弘尚灵活配置混合C,开放申购  ,2.48%,1.0248,jjpj,周恩源,0.00,-0.88%,0.39%,混合型,3496,开放赎回,--,2016-10-25,1.0248,1.77%
4206,0.15%,-4.90%,1.1809,前海开源基金,前海开源外向企业股票,开放申购  ,16.92%,1.1692,jjpj,苏天杉,0.99,-5.44%,1.46%,股票型,3492,开放赎回,--,2016-11-17,1.1692,12.11%
4207,0.00%,-1.61%,1.0543,长盛基金,长盛盛平灵活配置混合C,限大额  (,5.40%,1.0540,jjpj,杨衡,1.54,-0.51%,0.08%,混合型,3491,),--,2016-10-25,1.0540,3.66%
4208,,1.24%,1.0011,平安大华基金,平安大华惠裕A,开放申购  ,0.12%,1.0012,jjpj,WANG AO(汪澳),1.97,1.79%,-0.28%,债券型,3488,开放赎回,--,2017-03-10,1.0012,0.03%
4209,,0.70%,1.0349,平安大华基金,平安大华惠融纯债,开放申购  ,3.50%,1.0350,jjpj,申俊华,9.38,1.58%,1.17%,债券型,3487,开放赎回,--,2016-11-01,1.0350,2.81%
4210,,-0.88%,1.0085,鹏华基金,鹏华弘尚灵活配置混合A,开放申购  ,2.75%,1.0274,jjpj,周恩源,7.89,-0.84%,0.47%,混合型,3495,开放赎回,--,2016-10-25,1.0074,1.94%
4211,0.07%,-1.61%,1.0385,申万菱信基金,申万菱信安鑫优选混合A,开放申购  ,3.80%,1.0380,jjpj,叶瑜珍,3.17,-1.80%,-0.10%,混合型,3493,开放赎回,--,2016-11-07,1.0380,2.27%
4212,,0.66%,0.9811,平安大华基金,平安大华惠隆纯债,开放申购  ,-1.88%,0.9812,jjpj,余斌,2.90,1.48%,1.11%,债券型,3486,开放赎回,--,2016-11-23,0.9812,1.85%
4213,0.08%,-1.59%,1.0574,长盛基金,长盛盛平灵活配置混合A,限大额  (,5.70%,1.0570,jjpj,杨衡,0.69,-0.46%,0.17%,混合型,3490,),--,2016-10-25,1.0570,3.86%
4214,0.10%,0.27%,1.0698,金鹰基金,金鹰鑫益混合A,开放申购  ,6.87%,1.0687,jjpj,黄艳芳,0.37,2.24%,2.92%,混合型,3484,开放赎回,--,2016-11-16,1.0687,5.62%
4215,,0.33%,1.1696,交银施罗德基金,交银天鑫宝货币E,开放申购  ,5.19%,4.33%,jjpj,连端清,234.51,1.08%,2.17%,货币型,3483,开放赎回,--,2016-12-07,4.2490%,4.30%
4216,,0.31%,1.0988,交银施罗德基金,交银天鑫宝货币A,开放申购  ,4.87%,4.09%,jjpj,连端清,0.95,1.02%,2.05%,货币型,3482,开放赎回,--,2016-12-07,4.0030%,4.05%
4217,0.00%,0.31%,1.0286,光大保德信基金,光大耀钱包货币B,暂停申购  (,5.22%,3.95%,jjpj,杨烨超,17.79,1.06%,2.11%,货币型,3481,),--,2016-12-21,3.9280%,4.18%
4218,0.00%,0.22%,1.0671,金鹰基金,金鹰鑫益混合C,开放申购  ,6.60%,1.0660,jjpj,黄艳芳,0.02,2.15%,2.79%,混合型,3485,开放赎回,--,2016-11-16,1.0660,5.43%
4219,0.00%,0.31%,1.1489,财通资管,财通资管鑫管家货币A,限大额  (,5.52%,4.18%,jjpj,宫志芳,8.66,1.01%,2.01%,货币型,3479,),--,2016-10-25,4.0680%,4.13%
4220,0.00%,0.27%,0.9895,民生加银基金,民生加银腾元宝货币A,限大额  (,5.32%,3.35%,jjpj,李文君,1.46,1.00%,1.97%,货币型,3478,),--,2016-12-02,3.3510%,4.13%
4221,0.00%,0.33%,1.2145,财通资管,财通资管鑫管家货币B,限大额  (,5.88%,4.43%,jjpj,宫志芳,69.01,1.07%,2.13%,货币型,3480,),--,2016-10-25,4.3220%,4.38%
4222,0.12%,-0.16%,1.0083,南方基金,南方安颐养老,开放申购  ,0.72%,1.0072,jjpj,吴剑毅,3.06,0.09%,-1.42%,混合型,3476,开放赎回,--,2016-12-14,1.0072,-0.32%
4223,0.12%,-3.30%,1.1467,前海联合,新疆前海联合沪深300指数,开放申购  ,14.65%,1.1465,jjpj,林材,0.60,-2.20%,2.23%,股票指数,3475,开放赎回,--,2016-11-30,1.1465,13.06%
4224,0.00%,0.34%,1.1702,南方基金,南方天天利货币A,限大额  (,5.75%,4.53%,jjpj,夏晨曦,23.54,1.10%,2.17%,货币型,3473,),--,2016-10-20,4.4570%,4.36%
4225,0.00%,0.36%,1.2365,南方基金,南方天天利货币B,限大额  (,6.09%,4.77%,jjpj,夏晨曦,798.68,1.16%,2.29%,货币型,3474,),--,2016-10-20,4.7070%,4.61%
4226,,0.49%,1.0191,南方基金,南方睿见混合,暂停申购  ,1.80%,1.0180,jjpj,刘霄汉,3.15,1.50%,0.39%,混合型,3477,暂停赎回,--,2016-12-21,1.0180,1.19%
4227,,0.89%,0.9504,前海联合,新疆前海联合添鑫债券C,开放申购  ,-5.04%,0.9496,jjpj,张雅洁,0.00,1.84%,0.00%,债券型,3472,开放赎回,--,2016-10-18,0.9496,0.51%
4228,0.00%,-0.38%,--,泰达宏利基金,泰达宏利亚洲债券(QDII)C,限大额  (,-4.07%,0.9593,jjpj,李安杰,0.07,-4.89%,-4.90%,QDII,3464,),--,2016-10-14,0.9593,-6.02%
4229,0.00%,0.33%,2.0962,平安大华基金,平安大华金管家货币,限大额  (,5.38%,4.46%,jjpj,申俊华,40.23,1.05%,2.10%,货币型,3465,),--,2016-12-07,4.7130%,4.26%
4230,,-1.32%,0.9903,嘉实基金,嘉实稳宏债券A,开放申购  ,-1.18%,0.9882,jjpj,胡永青,0.24,-1.96%,-3.36%,债券型,3458,开放赎回,--,2017-06-02,0.9882,--
4231,,0.26%,0.4353,嘉实基金,嘉实现金宝,限大额  ,5.43%,3.08%,jjpj,李曈,26.73,1.00%,2.07%,货币型,3460,开放赎回,--,2016-12-22,2.8660%,4.24%
4232,,-1.35%,0.9870,嘉实基金,嘉实稳宏债券C,开放申购  ,-1.51%,0.9849,jjpj,胡永青,0.19,-2.06%,-3.55%,债券型,3459,开放赎回,--,2017-06-02,0.9849,--
4233,,0.73%,1.0213,嘉实基金,嘉实稳元纯债债券,限大额  ,4.38%,1.0434,jjpj,曲扬,5.02,1.80%,2.57%,债券型,3461,开放赎回,--,2017-03-09,1.0214,4.35%
